05501111,วิชาเลือกทางคอมพิวเตอร์2,50
05502222,วิชาเลือกทางคอมพิวเตอร์3,50
05503333,วิชาเลือกทางคอมพิวเตอร์4,50
05506001,คณิตศาสตร์ดิสครีต,50
05506002,กรรมวิธีคำนวณเชิงตัวเลข,50
05506004,การเขียนโปรแกรมเชิงออบเจกต์,50
05506008,โครงสร้างและสถาปัตยกรรมคอมพิวเตอร์,50
05506014,คอมพิวเตอร์กราฟิกส์,50
05506015,จรรยาบรรณทางวิชาชีพและเชิงสังคม,50
05506018,สัมมนา,50
05506019,จรรยาบรรณทางวิชาชีพและเชิงสังคมปี3,50
05506099,ปัญหาพิเศษ 2,50
05506113,การวิเคราะห์และออกแบบซอฟต์แวร์,50
05506233,แคลคูลัสสำหรับวิทยาการคอมพิวเตอร์,50
05506236,การวิเคราะห์และการออกแบบขั้นตอนวิธี,50
05506xxx,วิชาเลือกทางคอมพิวเตอร์,50
90111111,(วิชาเลือกกลุ่มภาษา),50
90641002,ความฉลาดทางดิจิทัล,50
90644008,ภาษาอังกฤษพื้นฐาน 2,50
90xxxxxx,วิชาเลือกตามเกณฑ์ของคณะวิทยาศาสตร์,59
xxxxxxxx,วิชาเลือกเสรี,70